特征,重要性,权重
Industry_Frequency,0.5892054021670486,0.5892054021670486
Valuation (M USD),0.5477684233591269,0.5477684233591269
Industry_Rank,0.5367361483175365,0.5367361483175365
Funding Amount (M USD),0.3517765325076659,-0.3517765325076659
Market Share (%),0.2663893996383486,0.2663893996383486
Revenue_Per_Employee,0.2649039697061793,0.2649039697061793
Funding_Efficiency,0.22490160390792518,-0.22490160390792518
PS_Ratio,0.17556715207392487,-0.17556715207392487
Employees,0.1440606238420459,0.1440606238420459
Capital_Efficiency,0.14188648254759473,0.14188648254759473
Funding Rounds,0.14143812622537758,0.14143812622537758
Market_Potential,0.03908545393338576,-0.03908545393338576
Funding_Per_Round,0.013402560884074335,-0.013402560884074335
Revenue (M USD),0.003205089000877586,0.003205089000877586
